Priority,Category,Item,Current Status,Effort Estimate,Notes
P2-High,CRM,Advanced Filtering/Saved Filters,Missing,1 week,"No saved searches or smart lists"
P2-High,AI,Property Matching Algorithm,Type Only,2-3 weeks,"Types defined but no implementation"
P2-High,AI,Market Intelligence Reports,Type Only,2-3 weeks,"MarketReport type exists but no generation"
P2-High,AI,CMA Report Generation,Type Only,2-3 weeks,"Types defined but no edge functions"
P2-High,AI,Model Monitoring & Drift Detection,Missing,2 weeks,"No automated model performance tracking"
P2-High,AI,Feature Store Infrastructure,Missing,2-3 weeks,"Features extracted at query time - no central store"
P2-High,AI,Chatbot/Virtual Assistant,Missing,3-4 weeks,"No conversational AI component"
P2-High,Storage,CDN Integration & Optimization,Missing,1-2 weeks,"Relies on Supabase URLs - no dedicated CDN"
P2-High,Storage,Server-Side Image Resizing,Missing,1-2 weeks,"Client-side only - inconsistent optimization"
P2-High,Storage,Media Library Management UI,Missing,1-2 weeks,"No browse, organize, tag interface"
P2-High,Storage,Storage Quota Per User/Tier,Partial,1 week,"Limits defined but not enforced"
P2-High,Storage,EXIF Data Stripping,Missing,2-3 days,"Privacy risk - location data exposed"
P2-High,SEO,Unified SEO Dashboard,Missing,2 weeks,"Audit functions exist but no consolidated view"
P2-High,SEO,Meta Tag Editor UI with SERP Preview,Missing,1-2 weeks,"No visual editor for meta tags"
P2-High,SEO,Keyword Tracking Dashboard,Missing,1-2 weeks,"Functions exist but no UI to view results"
P2-High,SEO,Property & Review Schema Implementation,Partial,1 week,"Types exist but not integrated in UI"
P2-High,SEO,Pre-publish SEO Validation,Missing,3-5 days,"No validation gate before content goes live"
P2-High,Automation,Visual Workflow Builder UI,Missing,3-4 weeks,"All config is database-only - not user-friendly"
P2-High,Automation,Multi-Step Workflow Orchestration,Missing,2-3 weeks,"Single action triggers only - no chains"
P2-High,Automation,Advanced Conditional Logic (IF/THEN/ELSE),Missing,2 weeks,"No AND/OR logic in rules"
P2-High,Automation,Comprehensive Audit Logging for Automations,Missing,1 week,"Limited execution logging"
P2-High,Automation,Webhook Signature Verification,Partial,3-5 days,"Some webhooks lack authenticity validation"
P2-High,Testing,Component Test Suite,Missing,2-3 weeks,"No React component tests"
P2-High,Testing,Load/Performance Testing,Missing,1-2 weeks,"No k6, JMeter, or Locust setup"
P2-High,Testing,Type Checking in CI/CD,Missing,1-2 hours,"TypeScript errors not blocking deployment"
P2-High,Documents,PDF Report Generation,Type Only,2 weeks,"Types defined for CMA/Market reports - no implementation"
P2-High,Documents,Document Storage & Management,Missing,1-2 weeks,"No document library for contracts, agreements"
P2-High,Documents,E-Signature Integration (DocuSign/HelloSign),Missing,2-3 weeks,"No contract signing workflow"
P2-High,Templates,Email Template Builder UI,Partial,1 week,"Basic templates exist - no visual editor"
P2-High,Templates,Response Template Categories,Implemented,Done,"5 categories with variable substitution"
P2-High,Templates,Landing Page Templates,Partial,1-2 weeks,"Location templates exist - needs more variety"
P3-Medium,Core Auth,Single Sign-Out (SLO),Missing,1 week,"No coordinated logout across apps"
P3-Medium,Core Auth,Security Key Support (WebAuthn),Missing,1-2 weeks,"No hardware key authentication"
P3-Medium,Security,Secrets Rotation Schedule,Missing,2-3 days,"No documented rotation procedures"
P3-Medium,Security,SBOM (Software Bill of Materials),Missing,2-3 days,"No dependency inventory"
P3-Medium,Security,CSP Refinement (Remove unsafe-inline),Partial,1 week,"Build config changes needed for Tailwind"
P3-Medium,Security,Vulnerability Scanning in CI/CD,Missing,3-5 days,"No npm audit or Dependabot integration"
P3-Medium,Billing,Tax Calculation (VAT/Sales Tax),Missing,1-2 weeks,"Non-compliant with EU VAT requirements"
P3-Medium,Billing,MRR/ARR Revenue Reporting,Missing,1 week,"No business intelligence metrics"
P3-Medium,Billing,Coupon/Discount System,Missing,1 week,"No promotional codes"
P3-Medium,Billing,Database Schema Consolidation,Needed,2-3 days,"Both subscriptions and user_subscriptions tables exist"
P3-Medium,CRM,CRM Integration (Salesforce/HubSpot),Missing,2-3 weeks,"Zapier only - no native integrations"
P3-Medium,CRM,Calendar Integration (Calendly/Google),Partial,1-2 weeks,"URL field exists - not full integration"
P3-Medium,CRM,Lead Import/Export (CSV),Missing,1 week,"No bulk data operations"
P3-Medium,CRM,Lead Source ROI Analytics,Missing,1-2 weeks,"Source tracked but no ROI calculations"
P3-Medium,CRM,Activity Timeline Persistence,Missing,1 week,"UI shows timeline but not persisted"
P3-Medium,CRM,Reporting Dashboard (Conversion Rates),Partial,1-2 weeks,"Basic stats only - needs expansion"
P3-Medium,AI,Virtual Staging/Photo Enhancement,Type Only,3-4 weeks,"Types defined - no AI integration"
P3-Medium,AI,Video Tour Generation,Type Only,4+ weeks,"Types defined - no video pipeline"
P3-Medium,AI,Predictive Analytics Dashboard,Type Only,2-3 weeks,"Types exist - no implementation"
P3-Medium,AI,Admin ML Training Dashboard,Missing,2 weeks,"No UI for model management"
P3-Medium,AI,A/B Test Results Visualization,Missing,1 week,"A/B infrastructure exists - no dashboard"
P3-Medium,Storage,Bulk Upload Capability,Missing,3-5 days,"Single file upload only"
P3-Medium,Storage,Image Cropping/Editing UI,Missing,1-2 weeks,"No in-app image editing"
P3-Medium,Storage,Backup Strategy Documentation,Missing,1-2 days,"No documented DR procedures"
P3-Medium,Storage,S3 Integration (Backup/Primary),Missing,1-2 weeks,"Supabase only - no redundancy"
P3-Medium,SEO,Internal Linking Dashboard,Missing,1 week,"analyze-internal-links exists - no UI"
P3-Medium,SEO,Broken Link Detection Dashboard,Missing,1 week,"check-broken-links exists - no UI"
P3-Medium,SEO,Duplicate Content Detection UI,Missing,1 week,"detect-duplicate-content exists - no UI"
P3-Medium,SEO,Local SEO Features (GMB Integration),Missing,2 weeks,"Critical for real estate - location dependent"
P3-Medium,SEO,Redirect Management Dashboard,Missing,1-2 weeks,"No 301/302 redirect management"
P3-Medium,SEO,Sitemap Auto-Regeneration,Partial,3-5 days,"Manual edge function call required"
P3-Medium,Blog,Content Calendar View,Missing,1-2 weeks,"No editorial planning interface"
P3-Medium,Blog,Content Gap Analysis,Missing,1-2 weeks,"No competitor content comparison"
P3-Medium,Blog,Keyword-to-Article Mapping UI,Missing,1 week,"keyword_id field exists - no interface"
P3-Medium,Blog,Article Version History,Missing,1 week,"No content versioning"
P3-Medium,Automation,Manual Approval/Intervention Points,Missing,1-2 weeks,"Workflows cannot pause for human review"
P3-Medium,Automation,Automation Templates Library,Missing,1-2 weeks,"No pre-built workflow templates"
P3-Medium,Automation,Dead Letter Queue for Failed Automations,Missing,1 week,"No retry with DLQ pattern"
P3-Medium,Automation,Rate Limiting on Automations,Missing,3-5 days,"Could cause performance issues at scale"
P3-Medium,Automation,Real-Time Automation Status Dashboard,Missing,1-2 weeks,"No visibility into running workflows"
P3-Medium,Testing,API Endpoint Testing,Missing,1-2 weeks,"No dedicated API test suite"
P3-Medium,Testing,Database Migration Testing,Missing,1 week,"Migrations not tested before deploy"
P3-Medium,Testing,Monitoring & Alerting Dashboard,Missing,2 weeks,"No Grafana/Datadog setup"
P3-Medium,GPS/Location,Property Location Map Integration,Partial,1-2 weeks,"Address fields exist - no map display"
P3-Medium,GPS/Location,Geolocation-Based Lead Routing,Missing,2-3 weeks,"No location-aware lead assignment"
P3-Medium,GPS/Location,Area/Neighborhood Polygon Management,Missing,2-3 weeks,"No service area definition"
P3-Medium,GPS/Location,Distance Calculation for Listings,Missing,1 week,"No proximity search"
P3-Medium,GPS/Location,Google Maps/Mapbox Integration,Missing,1-2 weeks,"No interactive maps for listings"
P3-Medium,Documents,Contract Template Management,Missing,2 weeks,"No legal document templates"
P3-Medium,Documents,Document Version Control,Missing,1-2 weeks,"No versioning for uploaded docs"
P3-Medium,Documents,Document Sharing/Permissions,Missing,1-2 weeks,"No secure document sharing"
P3-Medium,Templates,Page Builder Template Library,Partial,1-2 weeks,"Page builder exists - limited templates"
P3-Medium,Templates,Social Media Post Templates,Implemented,Done,"AI generation + manual templates"
P3-Medium,Templates,Listing Description Templates,Implemented,Done,"3 style variations (Luxury, Family, Investment)"
P4-Low,Core Auth,Team/Organization Hierarchy,Missing,3-4 weeks,"No multi-tenant team support"
P4-Low,Security,End-to-End Encryption (E2E),Missing,3-4 weeks,"Not required for most use cases"
P4-Low,Security,ISO 27001 Certification,Missing,6-12 months,"Enterprise certification"
P4-Low,Security,HIPAA Compliance,Not Applicable,N/A,"Not handling healthcare data"
P4-Low,Billing,Affiliate/Referral Tracking,Missing,2 weeks,"No referral reward system"
P4-Low,Billing,Multi-Currency Support,Missing,2-3 weeks,"USD only currently"
P4-Low,CRM,Competitive Intelligence (Lost Deal Tracking),Missing,1-2 weeks,"No competitor tracking"
P4-Low,CRM,Referral Relationship Tracking,Missing,1 week,"No referred-by linkage"
P4-Low,CRM,Mobile App (Native),Missing,8-12 weeks,"Web-only solution"
P4-Low,AI,Recommendation Engine (Buyer-Property Matching),Missing,4+ weeks,"No collaborative filtering"
P4-Low,AI,Sentiment Analysis,Missing,2-3 weeks,"No NLP for lead messages"
P4-Low,AI,Content Quality Scoring,Missing,1-2 weeks,"No plagiarism detection"
P4-Low,Storage,Video Upload Support,Missing,2-3 weeks,"Images only currently"
P4-Low,Storage,Thumbnail Auto-Generation,Missing,1 week,"No automatic thumbnail creation"
P4-Low,SEO,Hreflang/Multi-Language Support,Missing,2-3 weeks,"No internationalization"
P4-Low,SEO,Competitive SEO Analysis,Missing,2-3 weeks,"No competitor keyword tracking"
P4-Low,SEO,Backlink Monitoring,Missing,External,"Would need Ahrefs/Moz integration"
P4-Low,SEO,Video Sitemap Support,Missing,1 week,"No video content support"
P4-Low,Blog,Plagiarism Detection,Missing,1-2 weeks,"No content originality checking"
P4-Low,Blog,Multi-Author Support,Missing,1-2 weeks,"Single author per article"
P4-Low,Automation,Workflow Versioning/Rollback,Missing,2 weeks,"No change history"
P4-Low,Automation,Automation Marketplace,Missing,4+ weeks,"No shareable workflow library"
P4-Low,Automation,Performance Analytics per Automation,Missing,1-2 weeks,"No cost/time tracking"
P4-Low,Testing,Visual Regression Testing,Missing,1-2 weeks,"No screenshot comparison"
P4-Low,Testing,Accessibility Testing (a11y),Missing,1-2 weeks,"No automated WCAG checks"
P4-Low,GPS/Location,Heat Map Visualization,Missing,2-3 weeks,"No geographic data visualization"
P4-Low,GPS/Location,MLS Data Integration,Missing,4+ weeks,"Would need MLS API access"
P4-Low,Documents,OCR for Scanned Documents,Missing,2-3 weeks,"No text extraction"
P4-Low,Templates,Email Signature Builder,Missing,1 week,"No email signature templates"
P4-Low,Templates,Business Card Templates,Missing,1-2 weeks,"No print material templates"
